时间就像时间，太阳和月亮就像匆忙;时间不强，不努力，老人的悲伤无助;时间是一个让人长久，千里之遥的循环。,B
时间是一条持续奔跑的大河，它是一匹在空中飞舞的马，它是红色尘埃中的轮子，是一个无法逆转的沙漏。,1
洗手时，时间从盆地流出;当你吃饭时，时间从饭碗里流过;当你沉默时，时间会从平静的眼睛中消失;我意识到他匆匆忙忙，当他伸出手并保持时，他又一次保留的手已经过去了。,1
时间就像时间，太阳和月亮都像匆忙;时间不强，努力工作，老板伤心无助;时间是期待已久的，期待已久的周期。,1
时间就像一个统治者，它可以衡量奋斗者的进步;时间就像一个平衡，它可以衡量挣扎者的重量，结果就像金子，它可以引导我们懂得珍惜生命;时间就像穿梭机，它可以带我们走很长的历史。时间就像太阳，它可以带给我们无与伦比的温暖和光明。,1
时间是冰雪风暴，会染上我们年轻的额头;时间是一条湍急的河流，将淹没我们的生命之舟。,0
时间就像一条河流，时间流动汹涌;时间就像一根看不见的箭，没有痕迹;时间就像一阵风，给人一种寒意，或温暖！,1
时间是一把刀，在父母的脸上刻有皱纹;时间是一股河流，带走了我们的过去;时间是指针，转向，告诉我们生命在继续。,1
幸福是沙漠中一个清晰而甜蜜的春天。幸福是黑暗中的亮光。夏天，幸福是一阵清爽的微风。,1
快乐是一杯茶，可以让人快乐;幸福是一丝傍晚的风，可以吹走夏天的炎热;幸福是阳光，可以温暖冷酷的心;幸福是一个明确的春天，可以滋养年轻的心;幸福是一种带给我无限回忆的感觉。,1
幸福是沙漠中一个清晰而甜蜜的春天。幸福是黑暗中的亮光。夏天，幸福是一阵清爽的微风。,B
快乐是一种感觉，但它可以涂在脸上，涂在眉毛上，在嘴里唱歌，写在心里。幸福是一种体验，但它可以与每个人共享并拥有在一起。把你的快乐带走，一个人的幸福将神奇地成为许多人的幸福。,0
幸福是初春的一点点萌芽，幸福是仲夏的红色花朵，幸福是金色的金色秋天，幸福是冬天的一片雪。,1
白色的蜡烛告诉我，幸福正在燃烧自己，照亮他人;飞鹰告诉我，幸福飞得很高，在天空中飞舞;奔驰的马告诉我，快乐是自由而无拘无束的......,1
幸福是一杯酿造过多次的葡萄酒;幸福是薰衣草的芬芳和美味;幸福是父亲在雨中送来的伞;幸福是十亿人脸上的笑容;幸福是一杯太容易喝的酒。,1
你生病时，幸福就是一杯白水。幸福是困难的问候。当你感到沮丧时，幸福是一种鼓励。幸福是绝望的拯救。,0
幸福是“秘密紧张，恐惧被推迟”的关注点;幸福是“没有坟墓，天地，但敢于和君主的山”的爱;幸福是“桃花池深达千尺，不如王伦送我爱的感情;幸福是今晚家乡，霜冻和明朝的错过。,1
幸福是老人眉头上的笑容，幸福是孩子成绩的完美得分，幸福是金色的军事勋章，幸福是红色的藏红花,1
幸福是母亲的热情拥抱。幸福是情人的深情拥抱。幸福是朋友的无私关怀。幸福是对世界的赞美。幸福是风的样子，幸福是在雨中敞开的伞，幸福是烈日下的草帽，幸福是冬天的雪蚜棉。幸福是彼此相遇的快乐。幸福是长长的亭子的背离。当你回顾时，幸福是你的期望。当你再次见面时，幸福是一个惊喜。,1
幸福是贫困的一块蛋糕，一看逆境中心的心脏，父亲的粗犷触摸，女友的温暖记录。幸福就是与朋友一起跳舞，唱歌，表达喜悦。幸福就是你从地球的两端聚集在一起。幸福正在等待年迈的父母。幸福是一个健康的身体。幸福有一颗健康的心。幸福曾经存在。,1
幸福是“零落泥和尘埃的圣洁，只有香火就像它一样好。”幸福是“强烈的饥饿和饥饿，对匈奴血液的欢笑和渴望”的宏伟“;幸福是“世界担忧，未来的忧虑。音乐的快乐;幸福就是“自古以来从未有过的生命，保留了内心的心”。,1
幸福是内心的微笑。幸福是一种不禁幸福的呼唤。幸福是一种被遗忘的舞蹈。幸福是一首自我创造的歌。,1
在哪里开山，在哪里桥，在哪里铲陡坡，在哪里改变曲率，要经过调查并进行仔细计算。,0
